id,downloads,title,url,biorxiv_url,doi,category,first_posted,abstract,authors,video,tweets,news,blogs,facebook,wikipedia
81793,123982,Spike mutation pipeline reveals the emergence of a more transmissible form of SARS-CoV-2,https://api.rxivist.org/v1/papers/81793,https://www.biorxiv.org/content/10.1101/2020.04.29.069054v2,10.1101/2020.04.29.069054,evolutionary-biology,2020-04-30,"We have developed an analysis pipeline to facilitate real-time mutation tracking in SARS-CoV-2, focusing initially on the Spike (S) protein because it mediates infection of human cells and is the target of most vaccine strategies and antibody-based therapeutics. To date we have identified fourteen mutations in Spike that are accumulating. Mutations are considered in a broader phylogenetic context, geographically, and over time, to provide an early warning system to reveal mutations that may confer selective advantages in transmission or resistance to interventions. Each one is evaluated for evidence of positive selection, and the implications of the mutation are explored through structural modeling. The mutation Spike D614G is of urgent concern; after beginning to spread in Europe in early February, when introduced to new regions it repeatedly and rapidly becomes the dominant form. Also, we present evidence of recombination between locally circulating strains, indicative of multiple strain infections. These finding have important implications for SARS-CoV-2 transmission, pathogenesis and immune interventions.

### Competing Interest Statement

The authors have declared no competing interest.","[{'id': 538234, 'name': 'Bette Korber'}, {'id': 630906, 'name': 'Will Fischer'}, {'id': 369930, 'name': 'S Gnanakaran'}, {'id': 630907, 'name': 'Heyjin Yoon'}, {'id': 630908, 'name': 'James Theiler'}, {'id': 630909, 'name': 'Werner Abfalterer'}, {'id': 607553, 'name': 'Brian Foley'}, {'id': 349915, 'name': 'Elena E. Giorgi'}, {'id': 342629, 'name': 'Tanmoy Bhattacharya'}, {'id': 418287, 'name': 'Matthew D Parker'}, {'id': 630910, 'name': 'David G Partridge'}, {'id': 630911, 'name': 'Cariad M Evans'}, {'id': 393396, 'name': 'Thushan I. de Silva'}, {'id': 349921, 'name': 'Celia C LaBranche'}, {'id': 584182, 'name': 'David C Montefiori'}, {'id': 630912, 'name': 'Sheffield COVID-19 Genomics Group'}]",1,6645,301,21,12,1
77431,77885,Comparative analyses of SAR-CoV2 genomes from different geographical locations and other coronavirus family genomes reveals unique features potentially consequential to host-virus interaction and pathogenesis,https://api.rxivist.org/v1/papers/77431,https://www.biorxiv.org/content/10.1101/2020.03.21.001586v1,10.1101/2020.03.21.001586,bioinformatics,2020-03-21,"The ongoing pandemic of the coronavirus disease 2019 (COVID-19) is an infectious disease caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV2). We have performed an integrated sequence-based analysis of SARS-CoV2 genomes from different geographical locations in order to identify its unique features absent in SARS-CoV and other related coronavirus family genomes, conferring unique infection, facilitation of transmission, virulence and immunogenic features to the virus. The phylogeny of the genomes yields some interesting results. Systematic gene level mutational analysis of the genomes has enabled us to identify several unique features of the SARS-CoV2 genome, which includes a unique mutation in the spike surface glycoprotein (A930V (24351C>T)) in the Indian SARS-CoV2, absent in other strains studied here. We have also predicted the impact of the mutations in the spike glycoprotein function and stability, using computational approach. To gain further insights into host responses to viral infection, we predict that antiviral host-miRNAs may be controlling the viral pathogenesis. Our analysis reveals nine host miRNAs which can potentially target SARS-CoV2 genes. Interestingly, the nine miRNAs do not have targets in SARS and MERS genomes. Also, hsa-miR-27b is the only unique miRNA which has a target gene in the Indian SARS-CoV2 genome. We also predicted immune epitopes in the genomes.","[{'id': 395276, 'name': 'Rahila Sardar'}, {'id': 607312, 'name': 'Deepshikha Satish'}, {'id': 607313, 'name': 'Shweta Birla'}, {'id': 395281, 'name': 'Dinesh Gupta'}]",0,1631,3,0,0,0
76531,11543,The inhaled corticosteroid ciclesonide blocks coronavirus RNA replication by targeting viral NSP15,https://api.rxivist.org/v1/papers/76531,https://www.biorxiv.org/content/10.1101/2020.03.11.987016v1,10.1101/2020.03.11.987016,microbiology,2020-03-12,"Steroid compounds, which are expected to have dual functions in blocking host inflammation and MERS-CoV replication, were screened from a chemical library. Within this library, ciclesonide, an inhaled corticosteroid, suppressed human coronavirus replication in cultured cells, but did not suppress replication of respiratory syncytial virus or influenza virus. The effective concentration of ciclesonide to block SARS-CoV-2 (the cause of COVID-19) replication (EC90) was 6.3 μM. After the eleventh consecutive MERS-CoV passage in the presence of ciclesonide, a resistant mutation was generated, which resulted in an amino acid substitution (A25V) in nonstructural protein (NSP) 15, as identified using reverse genetics. A recombinant virus with the mutation was also resistant to ciclesonide suppression of viral replication. These observations suggest that the effect of ciclesonide was specific to coronavirus, suggesting this is a candidate drug for treatment of patients suffering MERS or COVID-19.","[{'id': 602221, 'name': 'Shutoku Matsuyama'}, {'id': 602222, 'name': 'Miyuki Kawase'}, {'id': 602223, 'name': 'Naganori Nao'}, {'id': 602224, 'name': 'Kazuya Shirato'}, {'id': 602225, 'name': 'Makoto Ujike'}, {'id': 602226, 'name': 'Wataru Kamitani'}, {'id': 335541, 'name': 'Masayuki Shimojima'}, {'id': 335539, 'name': 'Shuetsu Fukushi'}]",0,355,0,1,2,0
76954,7232,Emergence of RBD mutations in circulating SARS-CoV-2 strains enhancing the structural stability and human ACE2 receptor affinity of the spike protein,https://api.rxivist.org/v1/papers/76954,https://www.biorxiv.org/content/10.1101/2020.03.15.991844v4,10.1101/2020.03.15.991844,microbiology,2020-03-17,"A novel coronavirus SARS-CoV-2 is associated with the current global pandemic of Coronavirus Disease 2019 (COVID-19). Spike protein receptor-binding domain (RBD) of SARS-CoV-2 is the critical determinant of viral tropism and infectivity. To investigate whether the mutations in the RBD have altered the receptor binding affinity and whether these strains are selected to be more infectious, we analyzed and assessed the binding dynamics between the mutant SARS-CoV-2 RBDs to date and the human ACE2 receptor. Among 1609 genomes of global SARS-CoV-2 strains, 32 RBD mutants were identified and clustered into 9 mutant types under high positive selection pressure. Three mutant types that emerged in Wuhan, Shenzhen, Hong Kong, and France, displayed higher human ACE2 affinity, and probably higher infectivity. This is due to the enhanced structural stabilization of the RBD beta-sheet scaffold. Five France isolates and one Hong Kong isolate shared the same RBD mutation (V367F). 13 V483A mutants and seven G476S mutants were also identified from the U.S.A. This suggested they originated as novel sub-lineages. The enhancement of the binding affinity of the mutant type (V367F) was further validated by the receptor-ligand binding ELISA assay. The molecular dynamics simulations also indicated that it would be difficult for bat SARS-like CoV to infect humans. However, the pangolin CoV is potentially infectious to humans. The analysis of critical RBD mutations provides further insights into the evolutionary history of SARS-CoV-2 under high selection pressure. An enhancement of the SARS-CoV-2 binding affinity to human ACE2 receptor reveals higher infectivity of the mutant strains.

### Competing Interest Statement

The authors have declared no competing interest.","[{'id': 604518, 'name': 'Junxian Ou'}, {'id': 604519, 'name': 'Zhonghua Zhou'}, {'id': 617831, 'name': 'Ruixue Dai'}, {'id': 202012, 'name': 'Jing Zhang'}, {'id': 604520, 'name': 'Wendong Lan'}, {'id': 214240, 'name': 'Shan Zhao'}, {'id': 549825, 'name': 'Jianguo Wu'}, {'id': 604521, 'name': 'Donald Seto'}, {'id': 617832, 'name': 'Lilian Cui'}, {'id': 604522, 'name': 'Gong Zhang'}, {'id': 295757, 'name': 'Qiwei Zhang'}]",0,134,1,1,0,0
72955,5664,Preliminary identification of potential vaccine targets for the COVID-19 coronavirus (SARS-CoV-2) based on SARS-CoV immunological studies,https://api.rxivist.org/v1/papers/72955,https://www.biorxiv.org/content/10.1101/2020.02.03.933226v4,10.1101/2020.02.03.933226,bioinformatics,2020-02-04,"The beginning of 2020 has seen the emergence of COVID-19 outbreak caused by a novel coronavirus, Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2). There is an imminent need to better understand this new virus and to develop ways to control its spread. In this study, we sought to gain insights for vaccine design against SARS-CoV-2 by considering the high genetic similarity between SARS-CoV-2 and SARS-CoV, which caused the outbreak in 2003, and leveraging existing immunological studies of SARS-CoV. By screening the experimentally-determined SARS-CoV-derived B cell and T cell epitopes in the immunogenic structural proteins of SARS-CoV, we identified a set of B cell and T cell epitopes derived from the spike (S) and nucleocapsid (N) proteins that map identically to SARS-CoV-2 proteins. As no mutation has been observed in these identified epitopes among the available SARS-CoV-2 sequences (as of 9 February 2020), immune targeting of these epitopes may potentially offer protection against this novel virus. For the T cell epitopes, we performed a population coverage analysis of the associated MHC alleles and proposed a set of epitopes that is estimated to provide broad coverage globally, as well as in China. Our findings provide a screened set of epitopes that can help guide experimental efforts towards the development of vaccines against SARS-CoV-2.","[{'id': 582677, 'name': 'Syed Faraz Ahmed'}, {'id': 278836, 'name': 'Ahmed Abdul Quadeer'}, {'id': 278838, 'name': 'Matthew R. McKay'}]",0,63,0,0,1,0
74629,4674,Potential T-cell and B-cell Epitopes of 2019-nCoV,https://api.rxivist.org/v1/papers/74629,https://www.biorxiv.org/content/10.1101/2020.02.19.955484v2,10.1101/2020.02.19.955484,microbiology,2020-02-21,"As of early March, 2019-nCoV has infected more than one hundred thousand people and claimed thousands of lives. 2019-nCoV is a novel form of coronavirus that causes COVID-19 and has high similarity with SARS-CoV. No approved vaccine yet exists for any form of coronavirus. Here we use computational tools from structural biology and machine learning to identify 2019-nCoV T-cell and B-cell epitopes based on viral protein antigen presentation and antibody binding properties. These epitopes can be used to develop more effective vaccines and identify neutralizing antibodies. We identified 405 viral peptides with good antigen presentation scores for both human MHC-I and MHC-II alleles, and two potential neutralizing B-cell epitopes near the 2019-nCoV spike protein receptor binding domain (440-460 and 494-506). Analyzing mutation profiles of 68 viral genomes from four continents, we identified 96 coding-change mutations. These mutations are more likely to occur in regions with good MHC-I presentation scores (p=0.02). No mutations are present near the spike protein receptor binding domain. Based on these findings, the spike protein is likely immunogenic and a potential vaccine candidate. We validated our computational pipeline with SARS-CoV experimental data.

Significance Statement The novel coronavirus 2019-nCoV has affected more than 100 countries and continues to spread. There is an immediate need for effective vaccines that contain antigens which trigger responses from human T-cells and B-cells (known as epitopes). Here we identify potential T-cell epitopes through an analysis of human antigen presentation, as well as B-cell epitopes through an analysis of protein structure. We identify a list of top candidates, including an epitope located on 2019-nCoV spike protein that potentially triggers both T-cell and B-cell responses. Analyzing 68 samples, we observe that viral mutations are more likely to happen in regions with strong antigen presentation, a potential form of immune evasion. Our computational pipeline is validated with experimental data from SARS-CoV.","[{'id': 591843, 'name': 'Ethan Fast'}, {'id': 288860, 'name': 'Russ B. Altman'}, {'id': 293538, 'name': 'Binbin Chen'}]",0,48,2,1,0,0
75385,4498,Structural and Evolutionary Analysis Indicate that the SARS-CoV-2 Mpro is an Inconvenient Target for Small-Molecule Inhibitors Design,https://api.rxivist.org/v1/papers/75385,https://www.biorxiv.org/content/10.1101/2020.02.27.968008v3,10.1101/2020.02.27.968008,molecular-biology,2020-03-02,"The novel coronavirus whose outbreak took place in December 2019 continues to spread at a rapid rate worldwide. In the absence of an effective vaccine, inhibitor repurposing or de novo drug design may offer a longer-term strategy to combat this and future infections due to similar viruses. Here, we report on detailed classical and mix-solvent molecular dynamics simulations of the main protease (Mpro) enriched by evolutionary and stability analysis of the protein. The results were compared with those for a highly similar SARS Mpro protein. In spite of a high level of sequence similarity, the active sites in both proteins show major differences in both shape and size indicating that repurposing SARS drugs for COVID-19 may be futile. Furthermore, analysis of the binding site’s conformational changes during the simulation time indicates its flexibility and plasticity, which dashes hopes for rapid and reliable drug design. Conversely, structural stability of the protein with respect to flexible loop mutations indicates that the virus’ mutability will pose a further challenge to the rational design of small-molecule inhibitors. However, few residues contribute significantly to the protein stability and thus can be considered as key anchoring residues for Mpro inhibitor design.

*   Mpro
    :   Main protease
    CoVs
    :   Coronaviruses
    ORFs
    :   Open reading frames
    3CLpro
    :   Chymotrypsin-like cysteine protease
    S
    :   Spike surface glycoprotein
    E
    :   Small envelope protein
    M
    :   Matrix protein
    N
    :   Nucleocapsid protein
    N3
    :   N-[(5 methylisoxazol-3-yl)carbonyl] alanyl-L-valyl-N~1-((1R,2Z)-4-(benzyloxy)-4-oxo-1--{[(3R)-2-oxopyrrolidin-3-yl]methyl}but-2-enyl)-L-leucinamide
    cMD
    :   Classical molecular dynamics simulations
    MixMD
    :   Mixed-solvent molecular dynamics simulations
    PDB
    :   Protein Data Bank
    MAV
    :   Maximal accessible volume
    ACN
    :   Acetonitrile
    BNZ
    :   Benzene
    DMSO
    :   Dimethylsulfoxide
    MEO
    :   Methanol
    PHN
    :   Phenol
    URE
    :   Urea
    CMA
    :   Correlated mutation analysis","[{'id': 615824, 'name': 'Maria Bzówka'}, {'id': 615825, 'name': 'Karolina Mitusińska'}, {'id': 615826, 'name': 'Agata Raczyńska'}, {'id': 596329, 'name': 'Aleksandra Samol'}, {'id': 330218, 'name': 'Jack A. Tuszyński'}, {'id': 615827, 'name': 'Artur Góra'}]",0,59,0,0,0,0
79414,3016,Decoding the lethal effect of SARS-CoV-2 (novel coronavirus) strains from global perspective: molecular pathogenesis and evolutionary divergence,https://api.rxivist.org/v1/papers/79414,https://www.biorxiv.org/content/10.1101/2020.04.06.027854v1,10.1101/2020.04.06.027854,bioinformatics,2020-04-09,"Background: COVID-19 is a disease with global public health emergency that have shook the world since its first detection in China in December, 2019. Severe acute respiratory syndrome Coronavirus 2 (SARS-CoV-2) is the pathogen responsible behind this pandemic. The lethality of different viral strains is found to vary in different geographical locations but the molecular mechanism is yet to be known. Methods: Available data of whole genome sequencing of different viral strains published by different countries were retrieved and then analysed using Multiple Sequence Alignment and Pair-wise Sequence Alignment leading to Phylogenetic tree construction. Each location and the corresponding genetic variations were screened in depth. Then the variations are analysed at protein level giving special emphasis on Non Synonymous amino acid substitutions. The fatality rates in different countries were matched against the mutation number, rarity of the nucleotide alterations and functional impact of the Non Synonymous changes at protein level, separately and in combination. Results: All the viral strains have been found to evolve from the viral strain of Taiwan (MT192759) which is 100% identical with the ancestor SARS-CoV-2 sequences of Wuhan (NC 045512.2; submitted on 5th Jan, 2020). Transition from C to T (C>T) is the most frequent mutation in this viral genome and mutations A>T, G>A, T>A are the rarest ones, found in countries with maximum fatality rate i.e Italy, Spain and Sweden. 20 Non Synonymous mutations are located in viral genome spanning Orf1ab polyprotein, Surface glycoprotein, Nucleocapsid protein etc. The functional effect on the structure and function of the protein can favourably or unfavourably interact with the host body. Interpretation: The fatality outcome depends on three important factors (a) number of mutation (b) rarity of the allelic variation and (c) functional consequence of the mutation at protein level. The molecular divergence, evolved from the ancestral strain (S) lead to extremely lethal (E), lethal (L) and non lethal (N) strains with the involvement of an Intermediate strain (I).

### Competing Interest Statement","[{'id': 617751, 'name': 'Shuvam Banerjee'}, {'id': 617752, 'name': 'Shrinjana Dhar'}, {'id': 617753, 'name': 'Sandip Bhattacharjee'}, {'id': 617754, 'name': 'Pritha Bhattacharjee'}]",0,47,0,0,0,0
76099,2727,"Interaction of the spike protein RBD from SARS-CoV-2 with ACE2: similarity with SARS-CoV, hot-spot analysis and effect of the receptor polymorphism",https://api.rxivist.org/v1/papers/76099,https://www.biorxiv.org/content/10.1101/2020.03.04.976027v3,10.1101/2020.03.04.976027,bioinformatics,2020-03-07,"The spread of the COVID-19 caused by the SARS-CoV-2 outbreak has been growing since its first identification in December 2019. The publishing of the first SARS-CoV-2 genome made a valuable source of data to study the details about its phylogeny, evolution, and interaction with the host. Protein-protein binding assays have confirmed that Angiotensin-converting enzyme 2 (ACE2) is more likely to be the cell receptor via which the virus invades the host cell. In the present work, we provide an insight into the interaction of the viral spike Receptor Binding Domain (RBD) from different coronavirus isolates with host ACE2 protein. By calculating the binding energy between RBD and ACE2, we highlighted the putative jump in the affinity from a progenitor form of SARS-CoV-2 to the current virus responsible for COVID-19 outbreak. Our result was consistent with the phylogeny analysis and corroborates the opinion that the interface segment of the spike protein RBD might be acquired by SARS-CoV-2 via a complex evolutionary process rather than mutation accumulation. We also highlighted the relevance of Q493 and P499 amino acid residues of SARS-CoV-2 RBD for binding to hACE2 and maintaining the stability of the interface. Moreover, we show from the structural analysis that it is unlikely for the interface residues to be the result of human engineering. Finally, we studied the impact of eight different variants located at the interaction surface of ACE2, on the complex formation with SARS-CoV-2 RBD. We found that none of them is likely to disrupt the interaction with the viral RBD of SARS-CoV-2.

### Competing Interest Statement

The authors have declared no competing interest.","[{'id': 599933, 'name': 'Houcemeddine Othman'}, {'id': 599934, 'name': 'Zied Bouslama'}, {'id': 599935, 'name': 'Jean-Tristan Brandenburg'}, {'id': 599936, 'name': 'Jorge da Rocha'}, {'id': 599937, 'name': 'Yosr Hamdi'}, {'id': 599938, 'name': 'Kais Ghedira'}, {'id': 599939, 'name': 'Najet-Srairi Abid'}, {'id': 270174, 'name': 'Scott Hazelhurst'}]",0,30,0,0,0,0
77963,1818,Computational simulations reveal the binding dynamics between human ACE2 and the receptor binding domain of SARS-CoV-2 spike protein,https://api.rxivist.org/v1/papers/77963,https://www.biorxiv.org/content/10.1101/2020.03.24.005561v2,10.1101/2020.03.24.005561,biophysics,2020-03-27,"A novel coronavirus (the SARS-CoV-2) has been identified in January 2020 as the causal pathogen for COVID-19 pneumonia, an outbreak started near the end of 2019 in Wuhan, China. The SARS-CoV-2 was found to be closely related to the SARS-CoV, based on the genomic analysis. The Angiotensin converting enzyme 2 protein (ACE2) utilized by the SARS-CoV as a receptor was found to facilitate the infection of SARS-CoV-2, initiated by the binding of the spike protein to the human ACE2. Using homology modeling and molecular dynamics (MD) simulation methods, we report here the detailed structure of the ACE2 in complex with the receptor binding domain (RBD) of the SARS-CoV-2 spike protein. The predicted model is highly consistent with the experimentally determined complex structures. Besides the binding interface reported in the crystal structures, new plausible binding poses were revealed from all-atom MD simulations. The simulation data helped identify critical residues at the complex interface and provided more details about the interactions between the SARS-CoV-2 RBD and human ACE2. Two mutants mimicking rat ACE2 were modeled to study the mutation effects on RBD binding to ACE2. The simulations showed that the N-terminal helix and the K353 are very important for the tight binding of the complex, the mutants were found to alter the binding modes of the CoV2-RBD to ACE2.","[{'id': 619050, 'name': 'Cecylia S. Lupala'}, {'id': 610196, 'name': 'Xuanxuan Li'}, {'id': 610197, 'name': 'Jian Lei'}, {'id': 251546, 'name': 'Hong Chen'}, {'id': 291346, 'name': 'Jianxun Qi'}, {'id': 368354, 'name': 'Haiguang Liu'}, {'id': 547581, 'name': 'Xiao-dong Su'}]",0,13,0,0,0,0
